,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
2882,WASP-66 b,4.086052,2.32,0.0546,0.0,85.9,1.39,356.0,0.48,1,Transit,2012,158.2250042,-34.98980556,0.4,11.6,499.34,1.3,1.75,6600.0,4.3,-0.31,7e-06,0.13,0.0009,,0.9,0.09,22.0,0.06,120.65,0.07,0.09,150.0,0.2,0.1,-7e-06,0.13,0.0009,,0.9,0.09,22.0,0.08,-81.34,0.07,0.09,150.0,0.2,0.1,13.4,0.9,,,,,,
2883,WASP-67 b,4.61442,0.418184,0.0517,0.0,85.8,1.4,,0.94,1,Transit,2012,295.7438,-19.94955556,0.36,12.54,192.53,0.87,0.87,5240.0,4.35,-0.07,1e-05,0.0329627,0.0008,,0.3,0.2,,0.05,16.11,0.04,0.04,10.0,0.15,0.09,1e-05,0.0329627,0.0008,,-0.4,0.2,,0.03,-13.8,0.04,0.04,100.0,0.15,0.09,2.1,0.4,,,,,,
2884,WASP-68 b,5.084298,0.95,0.06206,0.0,88.1,1.24,,0.26,1,Transit,2014,305.0957501,-19.31469444,,10.7,244.67,1.24,1.69,5911.0,4.17,0.22,1.5e-05,0.03,0.00045,,1.3,0.1,,0.15,27.97,0.03,0.11,59.0,0.11,0.08,1.5e-05,0.03,0.0004,,1.3,0.06,,-0.18,-22.76,-0.03,-0.06,-60.0,0.11,-0.08,2.3,0.8,-0.8,,,,,
2886,WASP-7 b,4.9546416,0.96,0.0604573,0.0,89.6,0.915,86.0,0.08,1,Transit,2009,311.0425791,-39.22522222,0.42,9.54,158.13,1.2,1.236,6400.0,4.363,0.0,3.5e-06,0.13,0.00100762,,0.4,0.046,6.0,0.17,6.52,0.03,0.059,100.0,0.01,0.1,3.5e-06,0.13,0.00100762,,-0.9,0.04,6.0,0.08,-6.03,0.03,0.046,100.0,0.047,0.1,17.0,2.0,,2.4,0.1,0.1,,
2887,WASP-70 A b,3.7130203,0.59,0.04853,0.0,87.12,1.164,,0.431,1,Transit,2014,315.4769876,-13.43325,0.96,10.79,245.0,1.11,1.22,5763.0,4.31,-0.006,4.7e-06,0.022,0.00062,,0.65,0.073,,0.076,20.0,0.04,0.06,79.0,0.05,0.063,4.7e-06,-0.022,0.00062,,1.24,-0.102,,-0.169,20.0,-0.04,-0.09,79.0,-0.04,0.063,1.8,0.4,-0.4,9.5,0.5,0.5,,-5.23
2888,WASP-71 b,2.9036747,2.258,0.04631,0.0,84.2,1.5,19.8,0.433,1,Transit,2013,29.26336667,0.758805556,0.79,10.56,200.0,1.572,2.32,6059.0,3.905,0.152,6.8e-06,0.072,0.0006,,1.8,0.11,9.9,0.111,20.0,0.062,0.14,98.0,0.045,0.069,6.8e-06,0.072,0.0006,,1.8,0.11,9.9,0.111,20.0,0.062,0.14,-98.0,0.045,0.069,9.4,0.5,-0.5,2.0,,,,
2889,WASP-72 b,2.216726,1.5461,0.03708,0.0,86.8,1.01,,0.59,1,Transit,2013,41.04,-30.16919444,0.64,10.88,250.0,1.327,1.71,6250.0,4.095,-0.06,1.5e-06,0.059,0.0005,,2.0,0.12,,0.1,30.0,0.043,0.16,100.0,0.042,0.09,1.5e-06,-0.056,0.0005,,3.1,0.18,,-0.18,30.0,0.035,0.09,100.0,0.066,0.09,6.0,0.7,-0.7,3.7,4.0,-1.9,,
2890,WASP-73 b,4.08722,1.88,0.05512,0.0,87.4,1.16,,0.26,1,Transit,2014,319.949625,-58.14888889,,10.5,363.39,1.34,2.07,6036.0,3.93,0.14,0.00022,0.07,0.0006,,1.8,0.12,,0.2,59.91,0.05,0.19,120.0,0.04,0.14,-0.00022,0.06,0.00053,,2.4,0.08,,-0.18,-45.05,0.04,0.08,-120.0,-0.06,0.14,6.1,0.6,-0.6,,,,,
2891,WASP-74 b,2.13775,0.939613,0.037,0.0,79.81,1.56,,0.86,1,Transit,2015,304.5388334,-1.075722222,,9.7,143.22,1.48,1.64,5990.0,4.18,0.39,1e-06,0.052082,0.001,,0.24,0.06,,0.006,8.96,0.12,0.05,110.0,0.02,0.13,1e-06,0.052082,0.001,,0.24,0.06,,0.006,-7.96,0.12,0.05,110.0,-0.02,0.13,4.1,0.8,-0.8,2.0,1.0,1.6,,
2892,WASP-75 b,2.484193,1.07,0.0375,0.0,82.0,1.27,,0.882,1,Transit,2013,342.3857,-10.67552778,0.6,11.45,260.0,1.14,1.26,6100.0,4.29,0.07,3e-06,0.05,0.0007,,0.3,0.048,,0.006,70.0,0.07,0.04,100.0,0.02,0.09,3e-06,0.05,0.0008,,0.2,0.048,,-0.008,70.0,0.06,-0.04,100.0,-0.02,0.09,4.3,0.8,-0.8,3.5,0.5,-0.5,,
2893,WASP-77 A b,1.3600309,1.76,0.024,0.0,89.4,1.21,,0.06,1,Transit,2013,37.15512084,-7.060666667,0.78,10.29,100.97,1.0,0.95,5500.0,4.33,0.0,2e-06,0.06,0.00036,,0.4,0.02,,0.07,2.52,0.04,0.01,80.0,0.08,0.11,2e-06,0.06,0.00036,,0.7,0.02,,-0.05,-2.4,-0.04,-0.01,80.0,-0.08,0.11,4.0,0.2,-0.2,1.0,0.3,0.5,,
2894,WASP-78 b,2.17517632,1.16,0.0415,0.0,89.0,1.75,,0.417,1,Transit,2012,63.75627084,-22.11641667,0.69,11.96,550.0,2.02,2.31,6100.0,4.1,-0.35,4.7e-06,0.1,0.0006,,0.7,0.04,,0.079,120.0,0.09,0.04,100.0,0.2,0.14,-4.7e-06,0.1,0.0006,,0.7,0.04,,0.129,120.0,0.09,0.04,100.0,0.2,0.14,7.2,0.8,,,,,,
2895,WASP-79 b,3.6623817,0.9,0.0535,0.0,83.3,1.7,-106.0,0.706,1,Transit,2012,66.37092084,-30.60041667,0.41,10.04,243.98,1.52,1.64,6600.0,4.2,0.03,5.1e-06,0.08,0.0008,,0.5,0.11,13.0,0.031,21.05,0.07,0.08,100.0,0.15,0.1,5.1e-06,-0.08,-0.0008,,-0.5,0.11,25.0,-0.031,-17.95,0.07,0.08,100.0,0.15,0.1,19.1,0.7,,,,,,
2896,WASP-8 b,8.158715,2.244,0.0801,0.31,88.55,1.038,-123.3,0.604,2,Transit,2010,359.9002833,-35.03133333,0.728,9.789,89.29,1.033,0.94,5600.0,4.5,0.17,1.5e-05,0.079,0.0014,0.0024,0.15,0.007,3.4,0.043,2.19,0.05,0.05,80.0,0.1,0.07,1.5e-05,0.093,-0.0016,0.0024,-0.17,0.047,4.4,-0.04,-2.08,0.05,0.058,80.0,0.1,0.07,1.59,0.085,0.085,4.0,1.0,1.0,,
2897,WASP-80 b,3.06785234,0.554,0.0346,0.07,89.92,0.952,,0.215,1,Transit,2013,303.1674084,-2.144194444,0.900001,11.7,60.0,0.58,0.571,4143.0,4.66,-0.13,8.3e-07,0.03,0.0008,0.0,0.07,0.026,,0.02,20.0,0.05,0.016,92.0,0.01,0.15,-7.9e-07,0.039,0.0011,0.07,0.12,0.027,,-0.022,20.0,0.05,0.016,-94.0,-0.02,-0.17,3.55,0.33,0.33,,,,,
2898,WASP-82 b,2.705785,1.24,0.0447,0.0,87.9,1.67,,0.16,1,Transit,2013,72.66066668,1.893916666,,10.1,200.0,1.64,2.18,6500.0,3.97,0.12,2e-06,0.04,0.0007,,1.4,0.07,,0.14,30.0,0.08,0.08,80.0,0.01,0.11,2e-06,0.04,0.0007,,1.9,0.05,,-0.11,30.0,0.08,0.08,80.0,-0.02,0.11,2.6,0.9,-0.9,,,,,
2899,WASP-83 b,4.971252,0.3,0.059,0.0,88.9,1.04,,0.23,1,Transit,2015,190.152125,-19.28427778,,12.9,300.0,1.11,1.05,5510.0,4.44,0.29,1.5e-05,0.03,0.001,,0.7,0.08,,0.15,50.0,0.09,0.04,110.0,0.02,0.12,-1.5e-05,0.03,0.001,,0.7,0.05,,0.15,50.0,0.09,0.06,-110.0,-0.04,0.12,0.0,0.5,0.0,5.0,7.0,0.0,,
2900,WASP-84 b,8.5234865,0.694,0.0771,0.0,88.368,0.942,359.7,0.632,1,Transit,2014,131.1071375,1.86,0.81,10.83,125.0,0.842,0.75,5314.0,4.4,0.0,7e-06,0.028,0.0012,,0.05,0.022,1.7,0.012,50.0,0.037,0.01,88.0,0.1,0.1,-7e-06,0.028,0.0012,,0.05,0.022,1.7,-0.012,50.0,0.037,-0.01,88.0,-0.1,0.1,4.1,0.3,-0.3,1.0,,,,-4.43
2901,WASP-88 b,4.954,0.563202,0.06431,0.0,88.0,1.7,,0.23,1,Transit,2014,309.51125,-48.462,,11.4,482.05,1.45,2.08,6431.0,3.96,-0.008,1.9e-05,0.0733797,0.00065,,1.4,0.13,,0.15,76.22,0.05,0.06,130.0,0.02,0.12,1.9e-05,0.0733797,0.00062,,1.5,0.07,,-0.15,-57.91,0.05,0.12,130.0,-0.05,0.12,8.4,0.8,-0.8,,,,,
2902,WASP-89 b,3.3564227,5.82159,0.0427,0.193,89.4,1.04,,0.1,1,Transit,2015,313.8999167,-18.97113889,,13.1,,0.92,0.88,5130.0,4.51,0.15,2.5e-06,0.349242,0.0012,0.009,0.5,0.04,,0.08,,0.08,0.03,90.0,0.02,0.14,2.5e-06,0.349242,0.0012,-0.009,0.5,0.04,,0.08,,0.08,0.03,-90.0,-0.02,0.14,2.5,0.9,-0.9,1.3,0.8,1.5,,
2903,WASP-94 A b,3.9501907,0.452,0.055,0.0,88.7,1.72,151.0,0.17,1,Transit,2014,313.7831208,-34.13552778,,10.1,198.61,1.45,1.62,6153.0,4.18,0.26,4.4e-06,0.035,0.001,0.13,0.7,0.06,16.0,0.09,16.41,0.09,0.05,75.0,0.01,0.15,3e-06,0.032,0.001,0.0,0.7,0.05,23.0,-0.08,-14.09,-0.09,-0.04,-76.0,-0.02,0.15,4.2,0.5,-0.5,4.0,,,,
2904,WASP-94 B b,2.00839,0.618,0.0335,0.0,,,,,1,Transit,2014,313.7831208,-34.13552778,,10.5,,1.24,1.35,6040.0,4.26,0.23,0.00024,0.028,0.0006,,79.0,,,,,0.09,0.12,90.0,0.06,0.14,0.00024,0.029,0.0005,,79.0,,,,,0.09,0.12,90.0,-0.06,0.14,0.0,1.5,1.5,4.0,,,,
2905,WASP-95 b,2.184673,1.2034,0.03416,0.0,88.4,1.21,,0.19,1,Transit,2013,337.4572083,-48.00305556,,10.1,140.79,1.11,1.13,5630.0,4.38,0.14,1.4e-06,0.0660825,0.00083,,1.2,0.06,,0.21,8.52,0.09,0.08,130.0,0.02,0.16,1.4e-06,0.0660825,0.00083,,2.1,0.06,,-0.13,-7.6,0.09,0.04,130.0,-0.04,0.16,3.1,0.6,-0.6,2.4,1.7,1.0,,
2906,WASP-96 b,3.4252602,0.48,0.0453489,0.0,85.6,1.2,,0.71,1,Transit,2013,1.046416665,-47.36061111,,12.2,,1.06,1.05,5540.0,4.42,0.14,2.7e-06,0.03,0.00128346,,0.2,0.06,,0.019,,0.09,0.05,140.0,0.02,0.19,-2.7e-06,0.03,0.00128346,,0.2,0.06,,-0.019,,0.09,0.05,140.0,-0.02,0.19,1.5,1.3,-1.3,8.0,8.0,26.0,,
2907,WASP-97 b,2.07276,1.31694,0.03303,0.0,88.0,1.13,,0.23,1,Transit,2013,24.60433334,-55.77205556,,10.6,145.98,1.12,1.06,5640.0,4.43,0.23,1e-06,0.0495448,0.00056,,1.3,0.06,,0.11,6.17,0.06,0.04,100.0,0.03,0.11,-1e-06,0.0495448,0.00056,,1.0,0.06,,-0.15,-5.69,0.06,0.04,100.0,-0.03,0.11,1.1,0.5,-0.5,11.9,16.0,8.3,,
2908,WASP-98 b,2.96264036,0.83,0.03762,0.0,86.38,1.144,,0.71,1,Transit,2013,58.42875,-34.32825,,13.0,,0.81,0.74,5473.0,4.61,-0.6,4.3e-07,0.07,0.001,,0.07,0.034,,0.01,,0.06,0.02,121.0,0.01,0.19,-4.3e-07,0.07,-0.001,,-0.07,-0.034,,0.01,,-0.06,-0.02,-121.0,-0.01,0.19,0.99,1.08,-1.08,2.7,6.8,-2.7,,
2909,WASP-99 b,5.75251,2.77639,0.0717,0.0,88.8,1.1,,0.18,1,Transit,2013,39.89766666,-50.008,,9.5,154.77,1.48,1.76,6180.0,4.12,0.21,4e-05,0.126572,0.0016,,1.1,0.08,,0.17,7.25,0.1,0.06,100.0,0.02,0.15,4e-05,0.126572,0.0016,,1.1,0.05,,-0.17,-6.63,0.1,0.11,100.0,-0.04,0.15,6.8,0.5,-0.5,1.4,0.6,1.1,,
2910,WTS-1 b,3.352059,4.01,0.047,0.1,85.5,1.49,,0.69,1,Transit,2012,293.9932083,36.290325,,16.13,3200.0,1.2,1.15,6250.0,4.4,-0.25,1.2e-05,0.35,0.001,0.0,1.0,0.16,,0.05,400.0,0.1,0.1,200.0,0.1,0.25,1.4e-05,0.35,0.001,0.1,0.7,0.18,,-0.09,900.0,0.1,-0.12,200.0,-0.1,0.25,7.0,2.0,-2.0,2.55,1.95,-1.95,,
2911,WTS-2 b,1.0187068,1.12,0.0185537,0.0,83.55,1.3,,0.597,1,Transit,2014,293.7327959,36.81527778,,15.9,1000.0,0.82,0.75,5000.0,4.6,0.2,6.5e-07,0.13,0.000618458,,0.53,0.058,,0.032,,0.08,0.03,250.0,0.02,0.3,-6.5e-07,0.13,0.000618458,,-0.53,0.058,,0.032,,-0.08,-0.03,250.0,-0.02,0.3,2.2,1.0,-1.0,0.6,,,,
2912,XO-1 b,3.94150685,0.9,0.0488,0.0,88.8,1.21,,0.24,1,Transit,2006,240.5493333,28.16955556,0.692,11.19,155.22,1.0,0.94,5750.0,4.509,0.02,2.02e-06,0.07,0.0005,,0.2,0.03,,0.045,8.3,0.03,0.02,75.0,0.018,0.08,-2.02e-06,0.07,0.0005,,-0.2,-0.03,,0.14,-7.5,0.03,0.03,,0.026,0.08,1.11,0.067,0.067,4.5,2.0,2.0,,
2913,XO-2 b,2.61585922,0.62,0.0368369,0.045,88.9,0.983,,0.158,1,Transit,2007,117.02695,50.22580556,0.82,11.18,149.0,0.98,0.964,5340.0,4.452,0.45,2.8e-07,0.02,0.000613948,0.024,0.6,0.029,,0.11,4.0,0.02,0.02,32.0,0.02,0.02,-2.8e-07,0.02,0.000613948,0.024,0.75,0.028,,0.085,4.0,0.02,0.02,32.0,0.022,0.02,1.07,0.09,-0.09,7.9,2.3,-3.0,,
2917,XO-4 b,4.1250828,1.78,0.05485,0.0,88.47,1.317,-46.7,0.205,1,Transit,2008,110.3881917,58.26805556,0.35,10.78,257.48,1.32,1.55,5700.0,4.18,-0.04,4e-06,0.08,0.00042,,0.58,0.04,8.1,0.1,16.25,0.02,0.05,70.0,,0.03,-4e-06,-0.08,0.00042,,0.81,0.029,6.1,0.076,-14.43,0.02,0.05,70.0,,0.03,8.9,0.5,-0.5,2.1,0.6,0.6,,
2918,XO-5 b,4.1877558,1.19,0.0515,0.0,86.8,1.14,,0.55,1,Transit,2008,116.7164958,39.09455556,0.84,12.13,255.0,1.04,1.13,5510.0,4.35,0.25,6e-07,0.03,0.0005,,0.2,0.03,,0.03,13.0,0.03,0.03,44.0,0.02,0.03,-6e-07,-0.03,-0.0005,,-0.2,-0.03,,-0.03,13.0,-0.03,-0.03,44.0,-0.02,0.03,1.8,0.5,0.5,8.5,0.8,0.8,,
2919,XO-6 b,3.7650007,1.9,0.0815,0.0,86.0,2.07,-20.7,0.633,1,Transit,2016,94.793282,73.827682,0.43,10.25,232.72,1.5,1.86,6720.0,4.04,-0.07,8.1e-06,0.5,0.0077,,0.2,0.22,2.3,0.034,18.65,0.03,0.16,100.0,0.1,0.1,8.1e-06,0.5,0.0077,,0.2,0.22,2.3,0.034,-18.65,0.03,0.16,100.0,-0.1,0.1,48.0,3.0,-3.0,1.88,0.9,0.2,,
2938,mu Ara c,9.6386,1.88907,5.34057,0.172,,,,,4,RV,2004,266.0363334,-51.83358889,0.694,5.12,15.5111,1.147,1.25035,5807.0,4.37,0.292921,0.0015,0.223138,0.401558,0.04,,,,,0.0749435,0.026,0.0417071,30.0,0.05,0.03,0.0015,0.223138,0.401558,0.04,,,,,0.0742265,0.105,0.0417071,-30.0,-0.05,0.03,4.07,0.3,-0.3,6.0,,,0.159,-5.01611
2946,tau Boo b,3.3124568,4.32,0.0480039,0.0787,44.5,1.06,,,1,RV,1997,206.8168334,17.456775,0.508,4.5,15.6177,1.34,1.331,6387.49,4.25577,0.233627,6.9e-06,0.04,0.000800065,0.0382,1.5,,,,0.0464811,0.05,0.027,44.0,0.06,0.03,-6.9e-06,-0.04,0.000800065,0.0246,1.5,,,,0.0462065,-0.05,0.027,44.0,0.06,0.03,15.0,0.5,-0.5,2.52,,,0.202224,-4.7317
2948,upsilon And b,4.617033,0.6876,0.059222,0.0215,90.0,,,,4,RV,1997,24.19991667,41.40638611,0.536,4.1,13.4916,1.31,1.631,6212.65,4.25324,0.152951,2.3e-05,0.0044,0.0,0.0007,90.0,,,,0.0346746,0.021,0.014,44.0,0.06,0.03,-2.3e-05,-0.0044,0.0,-0.0007,0.0,,,,0.0344964,0.014,0.014,44.0,0.06,0.03,9.62362,0.5,0.5,5.0,1.0,1.0,0.146,-5.066
2963,BD+20 1790 b,7.78287,6.37,0.066,0.22,,,,,1,RV,2010,110.931612,20.416334,,,27.68,0.63,0.71,4410.0,4.53,0.3,0.00077,1.35,0.005,0.07,,,,,0.24,0.09,0.03,,0.17,0.2,-0.00076,-1.35,-0.006,-0.09,,,,,-0.24,-0.09,-0.03,,-0.17,-0.2,10.03,0.47,-0.47,0.058,0.023,-0.023,,
2979,EPIC 211351816 b,8.4061,1.1,,,,1.31,,0.933,1,Transit,2016,127.762836,10.847586,1.159,12.611,,1.16,4.2,4790.0,3.26,0.42,0.0015,0.11,,,,0.11,,0.006,,0.12,0.14,90.0,0.01,0.08,0.0015,0.11,,,,0.11,,-0.007,,0.12,0.14,-90.0,-0.01,0.08,2.8,1.6,-1.6,7.8,2.0,2.0,,
3003,HAT-P-42 b,4.641878,1.044,0.0575,0.0,85.9,1.277,,0.577,1,Transit,2012,135.344391,6.09723,,12.168,447.0,1.179,1.528,5743.0,4.14,0.27,3.2e-05,0.083,0.0011,,1.3,0.149,,0.068,40.0,0.067,0.136,50.0,0.07,0.08,-3.2e-05,-0.083,0.0011,,0.8,0.149,,-0.162,40.0,0.067,0.136,50.0,-0.07,0.08,3.5,0.5,-0.5,5.2,1.8,-0.7,,
3004,HAT-P-43 b,3.332687,0.662,0.0443,0.0,88.7,1.283,,0.19,1,Transit,2012,128.925737,10.206653,,13.356,543.0,1.05,1.104,5645.0,4.37,0.23,1.5e-05,0.06,0.0004,,0.7,0.057,,0.111,18.0,0.03,0.036,74.0,0.02,0.08,-1.5e-05,-0.06,0.0006,,0.7,0.034,,-0.096,18.0,-0.04,0.022,74.0,-0.02,0.08,2.4,0.5,-0.5,5.7,1.9,1.1,,
3006,HAT-P-50 b,3.1220109,1.35,0.0453,0.115,83.65,1.288,,0.629,1,Transit,2015,118.063411,12.13941,0.52,11.762,597.0,1.27,1.7,6280.0,4.07,-0.18,6.5e-06,0.073,0.00058,0.0,0.57,0.064,,0.032,21.0,0.05,0.07,49.0,0.03,0.08,6.5e-06,0.073,0.0014,0.115,0.57,0.064,,-0.041,21.0,-0.12,-0.07,49.0,-0.03,0.08,8.9,0.5,-0.5,3.37,0.27,1.44,,
3007,HAT-P-51 b,4.2180278,0.309,0.05069,0.123,88.48,1.293,,0.277,1,Transit,2015,21.06519,32.810764,0.82,13.44,470.0,0.976,1.041,5449.0,4.39,0.27,5.9e-06,0.018,0.00049,0.0,0.57,0.054,,0.085,16.0,0.028,0.029,50.0,0.03,0.08,5.9e-06,-0.018,0.00049,0.123,0.57,0.054,,-0.119,16.0,0.028,0.038,50.0,-0.03,0.08,1.7,0.5,-0.5,8.2,1.7,1.7,,
3008,HAT-P-52 b,2.7535953,0.818,0.03694,0.047,87.02,1.009,,0.461,1,Transit,2015,42.721679,29.022396,1.115,14.068,385.0,0.887,0.893,5131.0,4.48,0.28,9.4e-06,0.029,0.00038,0.0,0.86,0.072,,0.094,21.0,0.027,0.047,50.0,0.05,0.08,-9.4e-06,0.029,0.00038,0.047,0.86,0.072,,0.122,21.0,0.027,0.047,50.0,-0.05,0.08,0.6,0.5,-0.5,9.4,4.1,4.1,,
3009,HAT-P-53 b,1.9616241,1.484,0.03159,0.134,86.2,1.318,,0.38,1,Transit,2015,21.871105,38.968147,,13.73,719.0,1.09,1.209,5956.0,4.31,0.0,3.9e-06,0.056,0.00042,0.0,1.5,0.091,,0.11,43.0,0.04,0.062,50.0,0.04,0.08,3.9e-06,0.056,-0.00042,0.134,1.5,0.091,,0.15,43.0,-0.04,0.081,50.0,-0.04,0.08,4.1,0.5,-0.5,4.67,0.83,1.45,,
3010,HAT-P-55 b,3.5852467,0.582,0.04604,0.139,87.7,1.182,,0.392,1,Transit,2015,264.273447,25.731186,0.664,13.207,480.0,1.013,1.011,5808.0,4.43,-0.03,6.4e-06,0.056,0.00056,0.0,0.56,0.055,,0.073,19.0,0.037,0.036,50.0,0.03,0.08,6.4e-06,0.056,0.00056,0.139,0.56,0.055,,-0.086,19.0,0.037,0.036,50.0,-0.03,0.08,1.8,0.5,-0.5,4.2,1.7,1.7,,
3011,HAT-P-65 b,2.6054552,0.527,0.03951,0.3,84.2,1.89,,0.464,1,Transit,2016,315.905487,11.989404,,13.145,841.0,1.212,1.86,5835.0,3.98,0.1,3.1e-06,0.083,0.00054,0.0,1.3,0.13,,0.07,45.0,0.05,0.01,51.0,0.04,0.08,3.1e-06,0.083,0.00054,0.3,1.3,0.13,,-0.094,45.0,0.05,0.01,51.0,-0.04,0.08,7.1,0.5,-0.5,5.46,0.6,0.6,,
3012,HAT-P-66 b,2.972086,0.783,0.04363,0.09,86.2,1.59,,0.33,1,Transit,2016,150.572632,53.950863,,12.993,927.0,1.255,1.88,6002.0,3.99,0.035,5.7e-06,0.057,0.00121,,1.8,0.16,,0.13,75.0,0.107,0.15,50.0,0.04,0.08,-5.7e-06,0.057,0.00064,,1.8,0.1,,-0.16,49.0,0.0054,-0.1,50.0,-0.04,0.08,7.57,0.5,-0.5,4.66,0.52,0.12,,
3013,HATS-11 b,3.6191613,0.85,0.04614,0.34,88.31,1.51,,0.203,1,Transit,2016,289.400759,-22.389926,0.639,14.018,906.0,1.0,1.44,6060.0,4.12,-0.39,9.9e-06,0.12,0.00093,0.0,0.86,0.078,,0.115,41.0,0.06,0.06,150.0,0.03,0.06,-9.9e-06,0.12,0.00093,0.34,0.86,0.078,,-0.094,41.0,0.06,0.06,150.0,-0.03,0.06,3.8,1.0,-1.0,7.7,2.2,1.6,,
3014,HATS-12 b,3.142833,2.38,0.04795,0.085,82.7,1.35,,0.589,1,Transit,2016,289.202397,-19.355908,0.502,12.756,981.0,1.49,2.21,6408.0,3.92,-0.1,1.1e-05,0.11,0.00077,0.0,1.9,0.17,,0.079,94.0,0.07,0.2,75.0,0.07,0.04,1.1e-05,0.11,0.00077,0.085,1.9,0.17,,-0.126,94.0,0.07,0.2,75.0,-0.07,0.04,6.57,0.5,-0.5,2.36,0.3,0.3,,
3015,HATS-15 b,1.74748753,2.17,0.02712,0.126,87.13,1.105,,0.317,1,Transit,2016,311.091961,-19.43751,1.023,14.774,689.0,0.87,0.922,5311.0,4.45,0.0,9.4e-07,0.15,0.00023,0.126,0.97,0.04,,0.064,23.0,0.02,0.027,77.0,0.02,0.05,9.4e-07,0.15,0.00023,0.0,-0.67,0.04,,-0.101,23.0,-0.02,0.027,77.0,-0.02,0.05,4.18,0.5,-0.5,11.0,1.4,2.0,,
3016,HATS-16 b,2.686502,3.27,0.03744,0.0,83.53,1.3,,0.732,1,Transit,2016,358.55871,-30.012999,0.643,13.834,774.0,0.97,1.238,5738.0,4.24,-0.1,1.1e-05,0.19,0.00045,,1.37,0.15,,0.043,74.0,0.035,0.097,79.0,0.08,0.05,1.1e-05,0.19,0.00045,,0.86,0.15,,-0.091,74.0,0.035,0.127,79.0,-0.08,-0.05,6.17,0.22,-0.22,9.5,1.8,1.8,,
3018,HATS-18 b,0.8378434,1.98,0.01761,0.166,85.5,1.337,,0.29,1,Transit,2016,173.957397,-29.156012,0.803,14.067,645.0,1.037,1.02,5600.0,4.44,0.28,4.7e-07,0.077,0.00027,0.0,1.9,0.1,,0.15,36.0,0.047,0.057,120.0,0.03,0.08,4.7e-07,0.077,0.00027,0.166,2.8,0.049,,0.11,25.0,0.047,0.031,120.0,-0.03,0.08,6.23,0.47,-0.47,4.2,2.2,-2.2,,
3019,HATS-25 b,4.2986432,0.613,0.05163,0.176,86.93,1.26,,0.538,1,Transit,2016,207.907777,-23.781174,0.715,13.097,466.0,0.994,1.107,5715.0,4.35,0.02,4.5e-06,0.042,0.0006,0.088,0.71,0.1,,0.075,30.0,0.035,0.069,73.0,0.05,0.05,4.5e-06,0.042,0.0006,0.088,0.71,0.1,,-0.105,30.0,0.035,0.069,73.0,-0.05,0.05,3.88,0.5,-0.5,7.5,1.9,1.9,,
3020,HATS-26 b,3.3023881,0.65,0.04735,0.245,86.2,1.75,,0.33,1,Transit,2016,144.926863,-28.58559,0.598,12.955,907.0,1.3,2.04,6071.0,3.94,-0.02,7.6e-06,0.076,0.00133,0.122,1.9,0.21,,0.12,69.0,0.11,0.15,81.0,0.05,0.05,7.6e-06,0.076,0.00068,0.122,1.9,0.21,,0.17,49.0,-0.06,0.11,81.0,-0.05,0.05,7.48,0.5,-0.5,4.04,0.62,0.94,,
3021,HATS-27 b,4.637038,0.53,0.0611,0.581,87.3,1.5,,0.36,1,Transit,2016,193.55256,-46.587715,0.473,12.766,840.0,1.415,1.74,6438.0,4.11,0.09,1.4e-05,0.13,0.00068,0.29,1.3,0.2,,0.15,80.0,0.048,0.17,64.0,0.05,0.04,-1.4e-05,0.13,0.00068,0.29,1.3,0.11,,0.19,51.0,0.048,0.1,64.0,-0.05,0.04,9.32,0.5,-0.5,2.3,0.22,0.22,,
3022,HATS-28 b,3.1810781,0.672,0.04131,0.202,86.17,1.194,,0.643,1,Transit,2016,284.399685,-49.13847,0.763,13.934,521.0,0.929,0.922,5498.0,4.48,0.01,3.9e-06,0.087,0.00053,0.101,0.42,0.07,,0.039,25.0,0.036,0.04,84.0,0.04,0.06,3.9e-06,0.087,0.00053,0.101,0.42,0.07,,0.047,25.0,0.036,0.04,84.0,-0.04,0.06,2.6,1.0,-1.0,6.2,2.8,2.8,,
3023,HATS-29 b,4.6058749,0.653,0.05475,0.158,87.37,1.251,,0.502,1,Transit,2016,285.096424,-54.893192,0.749,12.612,351.0,1.032,1.073,5670.0,4.39,0.16,6.3e-06,0.063,0.00088,0.079,0.34,0.061,,0.046,15.0,0.049,0.038,110.0,0.03,0.08,6.3e-06,0.063,0.00088,0.079,0.34,0.061,,0.041,15.0,0.049,0.038,110.0,-0.03,0.08,2.35,0.8,-0.8,5.5,2.6,1.7,,
